	Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts	Pathogenic_change
1	A1BG	1	20	20	0	0	138670	4	0	0.0
2	A1BG-AS1	503538	11	11	0	0	0	1	0	-1.0
3	A1CF	29974	25	25	7	1	618199	5	0	1.0
4	A2M	2	59	56	22	0	103950	7	0	0.0
5	A2M-AS1	144571	11	11	0	0	0	1	0	-1.0
6	A2ML1	144568	1735	1146	1695	2	610627	484	47	2.0
7	A3GALT2	127550	13	13	0	0	619850	2	0	-2.0
8	A4GALT	53947	81	77	36	12	607922	11	0	12.0
9	A4GNT	51146	25	25	2	0	616709	5	0	-20.0
10	AAAS	8086	289	187	277	73	605378	55	11	73.0
11	AACS	65985	30	30	7	0	614364	3	0	0.0
12	AADAC	13	26	24	0	0	600338	2	0	0.0
13	AADACL2	344752	20	20	0	0	0	2	0	0.0
14	AADACL2-AS1	101928142	10	8	0	0	0	1	0	-3.0
15	AADACL3	126767	47	47	0	4	0	10	0	3.0
16	AADACL4	343066	46	46	0	1	0	10	0	1.0
17	AADAT	51166	55	55	0	0	611754	2	0	0.0
18	AAGAB	79719	120	91	93	43	614888	11	0	36.0
19	AAK1	22848	18	18	4	0	616405	4	0	0.0
20	AAMDC	28971	15	15	0	0	0	6	0	0.0
21	AAMP	14	28	25	0	0	603488	2	0	0.0
22	AANAT	15	23	23	6	0	600950	3	0	0.0
23	AAR2	25980	13	13	2	1	617365	0	0	0.0
24	AARD	441376	54	53	1	0	0	2	0	0.0
25	AARS1	16	1469	947	1416	24	601065	490	55	19.0
26	AARS2	57505	625	429	606	56	612035	157	31	41.0
27	AARSD1	80755	9	9	0	0	613212	1	0	0.0
28	AASDH	132949	23	23	1	0	614365	5	0	0.0
29	AASDHPPT	60496	25	25	0	0	607756	5	0	0.0
30	AASS	10157	130	118	98	16	605113	31	0	9.0
31	AATBC	284837	49	44	0	0	0	2	0	0.0
32	AATF	26574	130	122	0	0	608463	8	0	0.0
33	AATK	9625	25	25	0	0	605276	1	0	0.0
34	ABALON	103021294	7	7	0	0	616018	0	0	0.0
35	ABAT	18	736	605	655	23	137150	307	24	12.0
36	ABCA1	19	1628	993	1581	48	600046	301	76	26.0
37	ABCA10	10349	21	21	2	1	612508	3	0	0.0
38	ABCA12	26154	550	381	516	62	607800	168	22	33.0
39	ABCA13	154664	73	72	44	2	607807	15	0	0.0
40	ABCA2	20	164	151	88	7	600047	26	1	7.0
41	ABCA3	21	949	646	903	48	601615	291	55	37.0
